day,month,date,outlet_id,outlet_name,media_type,unit_of_analysis,topic_economy,topic_debates,topic_employment,topic_nhs,topic_polls,topic_schools,immigration,topic_eu,topic_housing,con_mention,lab_mention,ld_mention,snp_mention,pc_mention,ukip_mention,green_mention,cameron,miliband,clegg,sturgeon,wood,farage,bennett,tone_overall,posemo_overall,negemo_overall,con_tone,con_posemo,con_negemo,lab_tone,lab_posemo,lab_negemo,ld_tone,ld_posemo,ld_negemo,snp_tone,snp_posemo,snp_negemo,pc_tone,pc_posemo,pc_negemo,ukip_tone,ukip_posemo,ukip_negemo,green_tone,green_posemo,green_negemo,cameron_tone,cameron_posemo,cameron_negemo,miliband_tone,miliband_posemo,miliband_negemo,clegg_tone,clegg_posemo,clegg_negemo,sturgeon_tone,sturgeon_posemo,sturgeon_negemo,wood_tone,wood_posemo,wood_negemo,farage_tone,farage_posemo,farage_negemo,bennett_tone,bennett_posemo,bennett_negemo
9,4,09apr2015,73,Public tweets,social_media,tweet,.032899126,.025596011,.023770234,.075910255,.067588918,.043362241,.02678979,.025701344,.02963379,.11885116,.13068362,.04515291,.10336716,.028334679,.057231136,.020364454,.053684913,.063656472,.017169341,.01903023,.00024577789,.013517784,.00073733367,40.302498,2.3383741,1.6966693,33.328125,1.8859823,2.5990961,44.03606,2.4946077,1.6241752,46.853672,2.1107154,.86601865,43.99221,2.5665829,1.4324015,29.886307,1.4513011,3.3679802,36.843376,1.7559203,1.4431902,72.526672,5.6526723,.84212071,34.140385,1.6610464,1.6658077,28.676971,1.9172642,3.4146993,34.42178,1.4524336,1.6365849,39.658985,2.1771772,1.9652029,57.285713,2.46,1.9942857,36.316181,1.6408052,1.3082337,33.916191,2.02,2.2209525
10,4,10apr2015,73,Public tweets,social_media,tweet,.058444872,.014993916,.019625545,.066687599,.053773992,.025944971,.010754799,.022765631,.055344034,.13050987,.17792518,.078462929,.15146995,.043647211,.07324253,.013266868,.043607961,.063037246,.011500569,.012285591,.00062801741,.017427484,.00035325979,45.299068,2.5174224,1.2631024,41.404751,2.2060151,1.4871819,38.355972,1.9317737,1.4313457,43.151752,1.747834,.52248627,38.93885,1.7700959,1.3472143,37.126015,1.3070594,.48830035,38.202557,1.3993998,.50222939,67.636452,3.6874852,.26026627,41.875465,2.1653554,1.3223583,38.943977,2.5113761,2.4374096,47.361877,2.322901,1.1444368,38.514984,1.5016614,1.1164217,78.579376,4.50875,.25,27.866014,.52004504,.97324324,74.168892,4.8877778,0
11,4,11apr2015,73,Public tweets,social_media,tweet,.053748086,.0075471699,.019632841,.19637939,.028199898,.02335543,.0090770014,.03600204,.034727179,.16047935,.18699643,.078888319,.14054054,.030290669,.070168279,.013411525,.058694545,.057470679,.0045385007,.014023458,.0011218766,.023763387,.00015298318,46.568279,2.7474635,1.4165324,42.191074,2.5443311,1.5886844,42.135494,2.5621326,1.941838,39.898087,1.5582094,.51535875,43.415028,2.4391909,1.8461684,36.787544,1.4848317,1.1357576,35.537777,1.6446512,1.2595712,59.841785,3.2409127,.42243347,37.823883,2.1804345,1.953536,31.213444,2.9464598,3.1654127,59.936855,4.2534833,.91741574,57.805965,3.9256728,.74341822,94.426819,4.4977274,0,33.683155,1.8188841,1.4082189,47.560001,1.3333334,0
12,4,12apr2015,73,Public tweets,social_media,tweet,.0808983,.023644812,.02653588,.15611771,.020856995,.029065566,.0055756322,.036602993,.028755808,.12674238,.15751162,.046050593,.13350542,.01997935,.074599899,.030820858,.02968508,.023489933,.016313888,.025864739,.00067114097,.0098606087,.010635003,44.470097,2.6218121,1.6038493,50.703842,3.1902771,1.5265988,47.485809,2.8834414,1.4925205,39.619328,1.6276681,.78005606,39.77367,2.2810092,1.7917982,40.431526,1.5414729,.61891472,28.899952,1.4833356,2.7486091,80.398811,3.9601004,.13991626,40.134052,2.6751304,2.065774,40.38699,2.4492528,1.6545275,36.680126,1.4737659,.92189872,21.601696,1.4810978,3.4844711,63.543076,4.2230768,0,45.971203,2.8460734,1.8659686,61.342236,2.7337379,.29980582
13,4,13apr2015,73,Public tweets,social_media,tweet,.05447942,.015817454,.020528477,.058506157,.059743132,.020449521,.0041583325,.019423097,.033793032,.076323822,.26902831,.052821349,.095431097,.012843457,.038898833,.010869565,.029345194,.075560585,.022528687,.016580693,.00015791136,.0092641329,.0013159279,40.99699,2.1658244,1.4287912,47.040226,2.6550689,1.2565138,44.897865,2.3407788,.92898554,43.356567,1.9684006,.87786746,38.562553,1.6837149,.98615831,44.261127,1.7669467,.46172133,42.970448,1.9766171,.97815293,74.777267,4.5148668,.36636806,44.178207,2.5361435,2.0206995,49.476978,2.8849146,1.1655904,40.708153,2.8125,2.3537383,33.550968,1.7996032,1.4072857,99,9.1616669,0,64.242104,3.3927557,.44892046,79.062004,4.2214003,.2334
14,4,14apr2015,73,Public tweets,social_media,tweet,.046060245,.012625515,.041295394,.063639052,.030177403,.024416508,.0042533716,.017336529,.14814118,.22908983,.1243169,.041564595,.063181415,.022262901,.036772821,.055859156,.092578135,.02134762,.0072415001,.014886801,.00045764126,.005760896,.0029612081,47.244785,2.5927792,1.1197103,47.286713,2.7716603,1.2130623,48.726795,2.938993,1.2137029,40.936054,1.8720013,.93071246,45.442329,2.2924244,1.0542864,48.27145,2.180145,.63383311,35.46965,1.7433968,1.7250293,70.446159,3.5222459,.15211084,44.440533,2.2678192,1.2861937,34.966747,1.5093569,1.0654603,38.509853,2.0248699,1.8581413,52.499855,2.3184991,.37773961,88.92765,8.6794119,.26764706,47.900467,2.4147663,.87415892,66.500633,3.7917273,.75654548
15,4,15apr2015,73,Public tweets,social_media,tweet,.051683657,.019493358,.022767995,.073493972,.028792091,.043249924,.009453197,.031325303,.047667593,.098424464,.11034909,.15125115,.07275255,.017794253,.11964782,.012326228,.029379055,.0079394504,.064535066,.011059623,.0010194625,.029070126,.0013283904,46.75803,2.5889964,1.1173704,43.962334,2.5625079,1.5690082,43.459782,2.4697649,1.4920101,51.799,2.739228,.63789421,47.822464,2.7252696,.91677284,43.357189,2.2291842,.58836806,40.797264,2.3356004,1.5487839,65.912857,3.945539,.65187973,39.48204,2.5476236,2.2623448,47.908756,2.2491829,.87591439,47.552864,2.4094496,1.265012,50.810505,2.0641062,.31284916,32.981213,.49000001,.17818183,38.164986,2.398119,1.9904889,45.30442,1.6193024,.49000001
16,4,16apr2015,73,Public tweets,social_media,tweet,.036801167,.40793765,.016184362,.057689697,.022518851,.027681543,.017339176,.01744107,.049402215,.070324704,.085625976,.038584337,.069679372,.029345833,.052085456,.011480198,.067115009,.10123293,.019478975,.11527749,.010902792,.071224779,.012685959,47.172604,2.6467683,1.2663326,43.82452,2.3035257,1.3123424,43.564793,2.3754027,1.3136137,43.53104,2.020788,.92658448,48.811062,2.9589593,1.4090495,44.052963,3.0151794,1.6886632,37.349426,1.8089371,1.879837,55.034393,4.6407843,1.7998817,43.670204,2.2077506,1.607705,34.664215,1.6558698,1.8173008,34.728168,1.6381516,1.821081,66.126617,3.7651327,.45531821,27.38257,.90750778,1.9175546,43.754395,2.6412709,2.2914402,58.921177,3.215261,1.1095315
17,4,17apr2015,73,Public tweets,social_media,tweet,.04751626,.11426056,.042744752,.069300465,.043483201,.051804937,.0093442015,.019370047,.044108041,.087477632,.11906046,.043369591,.13056321,.023545116,.070294529,.013008038,.041665483,.070237726,.010167855,.043653611,.0027549774,.021329774,.0044874889,43.440456,2.3609862,1.2439345,44.137615,2.6322727,1.6921136,43.06028,2.4505677,1.4643321,48.789143,2.183615,.51017684,39.135921,2.18454,1.6726561,39.701904,1.8446321,1.0504342,35.284428,1.4197576,1.4342868,57.705853,3.4322927,.70515287,40.961151,2.2086163,1.4516156,29.467344,1.4837121,2.1027901,48.744804,2.3256984,.94013965,46.226215,2.1684711,.8285231,21.234123,.30649483,1.6340207,38.871265,2.6512916,2.2461519,32.954811,1.0331646,.56658226
18,4,18apr2015,73,Public tweets,social_media,tweet,.04550878,.034600306,.02420317,.070478953,.031276632,.024160558,.014232146,.018834157,.037071757,.099625021,.14338674,.037242204,.13976479,.026418954,.062041931,.0078830747,.027867734,.080620423,.0060507925,.028464291,.001193114,.012229418,.00055394578,47.306591,2.6991124,1.1465528,52.756973,3.4957614,1.3464329,47.368923,2.7113461,1.2797533,52.408672,2.4412816,.51146454,44.819157,2.4115822,1.3789055,54.351437,3.2085807,1.0144677,39.560078,1.9121016,1.1693063,61.668919,3.4038918,.50421619,36.741314,2.4790673,2.0986392,34.384403,1.6320772,1.7863954,48.985001,2.3671832,.94070423,54.588367,3.2340569,.87764972,31.533928,1.7653571,1.9275,31.429373,2.5664461,3.7590592,32.14077,1.42,2.0253847
